,uid,site_x,date_er,am_date,year,date,zone,easting,northing,lattitude,longitude,datum,factor,count,height_o,height_g,Discription,issues,cent_sp01,cent_l_sp01,cent_d_sp01,cent_sp02,cent_l_sp02,cent_d_sp02,cent_sp03,cent_l_sp03,cent_d_sp03,cent_sp04,cent_l_sp04,cent_d_sp04,cent_sp05,cent_l_sp05,cent_d_sp05,cent_sp06,cent_l_sp06,cent_d_sp06,cent_sp07,cent_l_sp07,cent_d_sp07,cent_sp08,cent_l_sp08,cent_d_sp08,cent_sp09,cent_l_sp09,cent_d_sp09,cent_sp10,cent_l_sp10,cent_d_sp10,cent_sp11,cent_l_sp11,cent_d_sp11,north_sp01,north_l_sp01,north_d_sp01,north_sp02,north_l_sp02,north_d_sp02,north_sp03,north_l_sp03,north_d_sp03,north_sp04,north_l_sp04,north_d_sp04,north_sp05,north_l_sp05,north_d_sp05,north_sp06,north_l_sp06,north_d_sp06,north_sp07,north_l_sp07,north_d_sp07,north_sp08,north_l_sp08,north_d_sp08,north_sp09,north_l_sp09,north_d_sp09,north_sp10,north_l_sp10,north_d_sp10,north_sp11,north_l_sp11,north_d_sp11,south_sp01,south_l_sp01,south_d_sp01,south_sp02,south_l_sp02,south_d_sp02,south_sp03,south_l_sp03,south_d_sp03,south_sp04,south_l_sp04,south_d_sp04,south_sp05,south_l_sp05,south_d_sp05,south_sp06,south_l_sp06,south_d_sp06,south_sp07,south_l_sp07,south_d_sp07,south_sp08,south_l_sp08,south_d_sp08,south_sp09,south_l_sp09,south_d_sp09,south_sp10,south_l_sp10,south_d_sp10,south_sp11,south_l_sp11,south_d_sp11,sw_sp01,sw_l_sp01,sw_d_sp01,sw_sp02,sw_l_sp02,sw_d_sp02,sw_sp03,sw_l_sp03,sw_d_sp03,sw_sp04,sw_l_sp04,sw_d_sp04,sw_sp05,sw_l_sp05,sw_d_sp05,sw_sp06,sw_l_sp06,sw_d_sp06,sw_sp07,sw_l_sp07,sw_d_sp07,sw_sp08,sw_l_sp08,sw_d_sp08,sw_sp09,sw_l_sp09,sw_d_sp09,sw_sp10,sw_l_sp10,sw_d_sp10,sw_sp11,sw_l_sp11,sw_d_sp11,ne_sp01,ne_l_sp01,ne_d_sp01,ne_sp02,ne_l_sp02,ne_d_sp02,ne_sp03,ne_l_sp03,ne_d_sp03,ne_sp04,ne_l_sp04,ne_d_sp04,ne_sp05,ne_l_sp05,ne_d_sp05,ne_sp06,ne_l_sp06,ne_d_sp06,ne_sp07,ne_l_sp07,ne_d_sp07,ne_sp08,ne_l_sp08,ne_d_sp08,ne_sp09,ne_l_sp09,ne_d_sp09,ne_sp10,ne_l_sp10,ne_d_sp10,ne_sp11,ne_l_sp11,ne_d_sp11,se_sp01,se_l_sp01,se_d_sp01,se_sp02,se_l_sp02,se_d_sp02,se_sp03,se_l_sp03,se_d_sp03,se_sp04,se_l_sp04,se_d_sp04,se_sp05,se_l_sp05,se_d_sp05,se_sp06,se_l_sp06,se_d_sp06,se_sp07,se_l_sp07,se_d_sp07,se_sp08,se_l_sp08,se_d_sp08,se_sp09,se_l_sp09,se_d_sp09,se_sp10,se_l_sp10,se_d_sp10,se_sp11,se_l_sp11,se_d_sp11,nw_sp01,nw_l_sp01,nw_d_sp01,nw_sp02,nw_l_sp02,nw_d_sp02,nw_sp03,nw_l_sp03,nw_d_sp03,nw_sp04,nw_l_sp04,nw_d_sp04,nw_sp05,nw_l_sp05,nw_d_sp05,nw_sp06,nw_l_sp06,nw_d_sp06,nw_sp07,nw_l_sp07,nw_d_sp07,nw_sp08,nw_l_sp08,nw_d_sp08,nw_sp09,nw_l_sp09,nw_d_sp09,nw_sp10,nw_l_sp10,nw_d_sp10,nw_sp11,nw_l_sp11,nw_d_sp11,siteyear,site_y,b1_h99a2_min,b1_h99a2_max,b1_h99a2_mean,b1_h99a2_med,b1_h99a2_std,b1_h99a2_p25,b1_h99a2_p50,b1_h99a2_p75,b1_h99a2_p95,b1_h99a2_p99
0,1,lit01,26/04/2013,20130426,2013,2013-04-26,52.0,724039.0,8611982.0,,,GDA94,0.5,7.0,,,,,E. tetrodonta,15.0,0.0,E. chlorostachys,3.0,0.0,P. spiralis,2.0,0.0,C. armstrongii,1.0,0.0,Buchorvet,3.0,0.0,,,,,,,,,,,,,,,,,,,E. tetrodonta,10.0,0.0,E. miniata,1.0,0.0,L. humilis,3.0,0.0,E. chlorostachys,2.0,0.0,P. spiralis,2.0,0.0,P. careya,2.0,0.0,Buchorvet,2.0,0.0,Corymbia sp.,1.0,0.0,,,,,,,,,,E. tetrodonta,11.0,0.0,E. miniata,7.0,0.0,E. chlorostachys,8.0,0.0,P. spiralis,7.0,0.0,P. careya,2.0,0.0,Buchorvet,1.0,0.0,P. pubescens,1.0,0.0,,,,,,,,,,,,,E. tetrodonta,8.0,0.0,E. miniata,6.0,0.0,E. chlorostachys,10.0,0.0,Buchorvet,1.0,0.0,P. careya,1.0,0.0,P. spiralis,9.0,2.0,C. armstrongii,1.0,0.0,F. achleata,2.0,0.0,C. fraseri,2.0,0.0,,,,,,,E. tetrodonta,15.0,2.0,E. chlorostachys,14.0,2.0,Buchorvet,4.0,0.0,P. spiralis,7.0,0.0,L. humilis,2.0,0.0,,,,,,,,,,,,,,,,,,,E. tetrodonta,14.0,2.0,P. spiralis,15.0,1.0,Syzygium suborbiculare,8.0,0.0,P. careya,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,25.0,0.0,E. miniata,4.0,0.0,P. spiralis,6.0,1.0,E. chlorostachys,1.0,0.0,F. achleata,1.0,0.0,C. armstrongii,1.0,0.0,,,,,,,,,,,,,,,,lit01.2013_1ha,lit01.2013_1ha,19.33404541015625,22.374969482421875,21.199948787689213,21.151870727539066,0.7664245510667823,20.71476554870605,21.151870727539066,21.752498626708984,22.33219146728516,22.366413879394532
0,3,buff01,13/07/2012,20210713,2021,2021-07-13,52.0,706454.0,8635540.0,,,WGS84,0.25,7.0,12.0,0.6,Eucalypt woodland over red gravely earths,,E. tetrodonta,18.0,1.0,Gardenia sp.,2.0,0.0,L. humilis,1.0,0.0,Strychnos lucida,1.0,0.0,Antidesma sp.,2.0,0.0,,,,,,,,,,,,,,,,,,,E. tetrodonta,9.0,1.0,Gardenia sp.,4.0,0.0,L. humilis,1.0,0.0,Strychnos lucida,1.0,0.0,Antidesma sp.,1.0,0.0,,,,,,,,,,,,,,,,,,,E. tetrodonta,19.0,1.0,Gardenia sp.,1.0,0.0,Antidesma sp.,1.0,0.0,Buchanania obovata,2.0,0.0,Terminalia sp.,2.0,4.0,P. careya,1.0,0.0,,,,,,,,,,,,,,,,E. tetrodonta,18.0,3.0,L. humilis,1.0,0.0,Buchanania obovata,2.0,0.0,Terminalia sp.,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,27.0,1.0,Exocarpos latifolius,1.0,0.0,Buchanania obovata,1.0,0.0,E. chlorostachys,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,19.0,1.0,Gardenia sp.,2.0,0.0,Antidesma sp.,1.0,0.0,Buchanania obovata,1.0,0.0,Terminalia sp.,2.0,0.0,,,,,,,,,,,,,,,,,,,E. tetrodonta,15.0,0.0,Gardenia sp.,2.0,0.0,Antidesma sp.,2.0,0.0,Exocarpos latifolius,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,buff01.2021_1ha,buff01.2021_1ha,7.6992034912109375,16.677726745605472,13.355313873291012,13.949932098388672,2.3272361079980626,12.682435989379885,13.949932098388672,14.942447662353516,15.664191436767581,16.475019683837886
0,4,ep01,13/07/2012,20120713,2012,2012-07-13,52.0,698028.0,8627310.0,,,WGS84,0.5,7.0,,,,,Camoty,30.0,1.0,Mid layer vine,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Camoty,25.0,1.0,Mid layer vine,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Camoty,25.0,1.0,Mid layer vine,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Camoty,18.0,0.0,Mid layer vine,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Camoty,16.0,0.0,Mid layer vine,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Camoty,23.0,0.0,Mid layer vine,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Camoty,17.0,3.0,Mid layer vine,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ep01.2012_1ha,ep01.2012_1ha,9.47137451171875,20.989959716796875,14.057662010192873,13.934551239013672,3.1454833489206573,11.531450271606445,13.934551239013672,15.964017868041992,19.01543617248535,20.59505500793456
0,5,girra01,2012-05-06 00:00:00,20120605,2012,2012-06-05,52.0,725819.0,8615707.0,,,WGS84,0.5,6.0,,,,,E. tetrodonta,1.0,0.0,E. miniata,9.0,0.0,E. chlorostachys,2.0,0.0,Terminalia ferdinandiana,5.0,0.0,Lophostemon lactifluus,3.0,0.0,Corymbia polysciada,1.0,0.0,,,,,,,,,,,,,,,,E. tetrodonta,5.0,0.0,E. miniata,8.0,0.0,E. chlorostachys,3.0,0.0,Terminalia ferdinandiana,6.0,0.0,dead,0.0,1.0,,,,,,,,,,,,,,,,,,,E. tetrodonta,4.0,0.0,E. miniata,10.0,0.0,E. chlorostachys,3.0,0.0,Terminalia ferdinandiana,4.0,0.0,Corymbia porrecta,2.0,0.0,dead,0.0,1.0,P. careya,1.0,0.0,C. armstrongii,1.0,0.0,,,,,,,,,,E. tetrodonta,3.0,0.0,E. miniata,9.0,0.0,E. chlorostachys,3.0,0.0,Terminalia ferdinandiana,2.0,0.0,Corymbia porrecta,3.0,0.0,dead,0.0,1.0,C. armstrongii,1.0,0.0,Buchanania obovata,1.0,0.0,,,,,,,,,,E. tetrodonta,18.0,0.0,E. miniata,8.0,0.0,E. chlorostachys,3.0,0.0,Terminalia ferdinandiana,4.0,0.0,Corymbia porrecta,1.0,0.0,dead,0.0,2.0,C. armstrongii,2.0,0.0,Gardenia megasperma,1.0,0.0,,,,,,,,,,E. tetrodonta,7.0,0.0,E. miniata,13.0,0.0,E. chlorostachys,4.0,0.0,Terminalia ferdinandiana,3.0,0.0,Corymbia porrecta,1.0,0.0,dead,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,girra01.2012_1ha,girra01.2012_1ha,6.960853576660156,20.04534912109375,11.069447166041329,10.104171752929688,2.7516567768021822,9.65625,10.104171752929688,12.293830871582033,14.257669067382809,18.887813110351573
0,6,girra02,2012-05-06 00:00:00,20120605,2012,2012-06-05,52.0,731679.0,8614633.0,,,GDA94,0.1,7.0,,,,,Melaleuca nervoa,23.0,0.0,Lophostemon lactifluus,1.0,0.0,P. spiralis,2.0,0.0,Eucalyptus alba,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,Melaleuca nervoa,20.0,5.0,P. spiralis,1.0,1.0,Eucalyptus alba,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Melaleuca nervoa,3.0,8.0,Lophostemon lactifluus,4.0,2.0,P. spiralis,2.0,0.0,Eucalyptus alba,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,Melaleuca nervoa,22.0,0.0,P. spiralis,2.0,0.0,Eucalyptus alba,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Melaleuca nervoa,4.0,2.0,Lophostemon lactifluus,4.0,1.0,P. spiralis,8.0,0.0,Melaleuca nervoa,3.0,,,,,,,,,,,,,,,,,,,,,,,Melaleuca nervoa,10.0,4.0,P. spiralis,2.0,0.0,Eucalyptus alba,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Melaleuca nervoa,8.0,0.0,Lophostemon lactifluus,11.0,0.0,P. spiralis,2.0,1.0,Eucalyptus alba,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,girra02.2012_1ha,girra02.2012_1ha,7.600234985351562,13.861160278320312,10.051834106445312,9.446247100830078,1.9133721506516508,8.746868133544924,9.446247100830078,11.490377426147461,13.115363311767581,13.712000885009758
0,7,hshr01,2012-06-06 00:00:00,20120606,2012,2012-06-06,52.0,724169.0,8626515.0,,,WGS84,1.0,7.0,15.0,0.5,,,Acacia auriculiformis,5.0,0.0,Lophostemon lactifluus,10.0,0.0,Syzygium suborbiculare,1.0,0.0,Canarium australianum,1.0,0.0,P. careya,6.0,0.0,E. chlorostachys,4.0,0.0,C. armstrongii,1.0,0.0,Mallotus nesophilus,1.0,0.0,,,,,,,,,,Acacia auriculiformis,6.0,3.0,Lophostemon lactifluus,6.0,3.0,Syzygium suborbiculare,1.0,0.0,Canarium australianum,2.0,0.0,P. careya,3.0,0.0,Bridelia tomentosa,2.0,0.0,Alphitonia incana,2.0,0.0,E. chlorostachys,1.0,0.0,dead,0.0,1.0,,,,,,,Acacia auriculiformis,9.0,3.0,Lophostemon lactifluus,6.0,0.0,dead,0.0,5.0,P. careya,1.0,0.0,E. chlorostachys,1.0,0.0,Eucalyptus bella,1.0,0.0,Eucalyptus tectifica,1.0,0.0,,,,,,,,,,,,,Acacia auriculiformis,3.0,0.0,Lophostemon lactifluus,7.0,0.0,Canarium australianum,3.0,0.0,P. careya,9.0,0.0,E. chlorostachys,4.0,0.0,Mallotus nesophilus,1.0,0.0,Brachychiton diversifolius,1.0,0.0,,,,,,,,,,,,,Acacia auriculiformis,9.0,3.0,Lophostemon lactifluus,1.0,0.0,P. careya,1.0,0.0,E. chlorostachys,1.0,0.0,Mallotus nesophilus,5.0,0.0,Breynia cerunea,1.0,0.0,,,,,,,,,,,,,,,,Acacia auriculiformis,6.0,2.0,Lophostemon lactifluus,9.0,0.0,P. careya,5.0,0.0,E. chlorostachys,5.0,0.0,C. armstrongii,1.0,0.0,Mallotus nesophilus,2.0,0.0,E. miniata,1.0,0.0,,,,,,,,,,,,,Acacia auriculiformis,6.0,2.0,Lophostemon lactifluus,6.0,0.0,P. careya,4.0,0.0,E. chlorostachys,1.0,0.0,Eucalyptus bella,1.0,0.0,Premna acuminata,3.0,0.0,Sterculia quadrifida,1.0,0.0,Corymbia polysciada,1.0,0.0,Denhamia obscura,1.0,0.0,,,,,,,hshr01.2012_1ha,hshr01.2012_1ha,12.138290405273438,23.42958068847656,17.0013355255127,17.020942687988278,2.5455999697804126,15.562751770019533,17.020942687988278,18.238916397094727,20.363570785522455,22.81637870788575
0,8,hsf01,2012-10-07 00:00:00,20120710,2012,2012-07-10,52.0,720781.0,8620707.0,,,WGS84,0.5,7.0,12.0,0.2,Callitris intratropica plantation,,Callitris intratropica ,41.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Callitris intratropica ,38.0,2.0,E. miniata,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Callitris intratropica ,37.0,0.0,E. chlorostachys,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Callitris intratropica ,37.0,0.0,Corymbia bleeseri,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Callitris intratropica ,38.0,1.0,E. miniata,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Callitris intratropica ,39.0,0.0,E. miniata,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Callitris intratropica ,36.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hsf01.2012_1ha,hsf01.2012_1ha,10.26995086669922,16.820526123046875,13.545639991760256,13.499088287353516,2.0965824237423343,11.971170425415039,13.499088287353516,15.445314407348633,16.763809204101562,16.809182739257807
0,9,hsf02,2012-10-07 00:00:00,20120710,2012,2012-07-10,52.0,722394.0,8620275.0,,,WGS84,0.5,7.0,12.0,0.5,Callitris intratropica plantation,,Callitris intratropica ,44.0,1.0,E. tetrodonta,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Callitris intratropica ,41.0,0.0,E. tetrodonta,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Callitris intratropica ,32.0,1.0,E. tetrodonta,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Callitris intratropica ,35.0,2.0,E. tetrodonta,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Callitris intratropica ,32.0,0.0,E. tetrodonta,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Callitris intratropica ,37.0,2.0,E. tetrodonta,3.0,1.0,E. miniata,1.0,0.0,Buchanania obovata,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,Callitris intratropica ,39.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hsf02.2012_1ha,hsf02.2012_1ha,6.6851654052734375,16.543159484863278,11.364297485351555,11.06744384765625,2.724087005215796,9.294736862182617,11.06744384765625,12.95223617553711,16.235753250122073,16.481678237915045
0,10,wedo01,2012-06-06 00:00:00,20120606,2012,2012-06-06,52.0,717807.0,8605823.0,,,WGS84,0.1,7.0,10.0,0.8,,,E. tetrodonta,3.0,0.0,E. miniata,2.0,0.0,E. chlorostachys,9.0,0.0,Corymbia polycarpa,3.0,0.0,Corymbia polysciada,3.0,0.0,L. humilis,9.0,0.0,Buchanania obovata,1.0,0.0,dead,2.0,0.0,,,,,,,,,,E. tetrodonta,3.0,0.0,E. miniata,1.0,0.0,E. chlorostachys,7.0,0.0,Corymbia polycarpa,3.0,0.0,Corymbia polysciada,4.0,0.0,P. spiralis,1.0,0.0,L. humilis,7.0,0.0,dead,0.0,4.0,,,,,,,,,,E. tetrodonta,2.0,0.0,E. miniata,2.0,0.0,E. chlorostachys,7.0,0.0,Corymbia polycarpa,7.0,0.0,Corymbia polysciada,5.0,0.0,P. spiralis,1.0,0.0,L. humilis,11.0,0.0,dead,0.0,2.0,Grevillea pteridifolia,2.0,0.0,,,,,,,E. tetrodonta,2.0,0.0,E. miniata,1.0,0.0,E. chlorostachys,14.0,0.0,Corymbia polycarpa,3.0,0.0,Corymbia polysciada,6.0,0.0,L. humilis,2.0,0.0,dead,0.0,1.0,Lophostemon lactifluus,9.0,0.0,,,,,,,,,,E. tetrodonta,3.0,0.0,E. miniata,5.0,0.0,E. chlorostachys,8.0,0.0,Corymbia polycarpa,2.0,0.0,Corymbia polysciada,5.0,0.0,L. humilis,2.0,0.0,dead,0.0,2.0,Grevillea pteridifolia,1.0,0.0,Terminalia ferdinandiana,1.0,0.0,,,,,,,E. tetrodonta,2.0,0.0,E. miniata,2.0,2.0,E. chlorostachys,15.0,0.0,Corymbia polycarpa,2.0,0.0,Corymbia polysciada,5.0,0.0,P. spiralis,1.0,0.0,L. humilis,7.0,0.0,dead,0.0,5.0,,,,,,,,,,E. tetrodonta,4.0,0.0,E. miniata,4.0,0.0,E. chlorostachys,7.0,0.0,Corymbia polycarpa,3.0,0.0,Corymbia polysciada,4.0,0.0,L. humilis,5.0,0.0,dead,0.0,1.0,Terminalia ferdinandiana,1.0,0.0,,,,,,,,,,wedo01.2012_1ha,wedo01.2012_1ha,6.246238708496094,14.820785522460938,8.632197570800784,7.9616546630859375,2.4270390155346497,7.349164962768555,7.9616546630859375,8.563091278076174,13.118598175048813,14.480348052978512
0,11,wedo03,2012-10-07 00:00:00,20120710,2012,2012-07-10,52.0,715486.0,8613592.0,,,WGS84,0.25,7.0,15.0,0.5,Eucalypt woodland/open forest,,E. tetrodonta,5.0,0.0,Corymbia bleeseri,2.0,0.0,E. miniata,8.0,0.0,P. careya,2.0,0.0,E. chlorostachys,5.0,0.0,C. armstrongii,1.0,0.0,Corymbia polysciada,1.0,0.0,Corymbia porrecta,1.0,0.0,xanta dara,2.0,1.0,L. humilis,7.0,1.0,,,,E. tetrodonta,14.0,0.0,Corymbia bleeseri,2.0,0.0,E. miniata,5.0,0.0,P. careya,1.0,0.0,E. chlorostachys,4.0,1.0,C. armstrongii,1.0,0.0,Corymbia polysciada,1.0,0.0,Corymbia porrecta,1.0,0.0,,,,,,,,,,E. tetrodonta,21.0,0.0,Corymbia bleeseri,3.0,0.0,E. miniata,8.0,2.0,P. careya,1.0,2.0,E. chlorostachys,2.0,0.0,C. armstrongii,2.0,1.0,,,,,,,,,,,,,,,,E. tetrodonta,4.0,1.0,Corymbia bleeseri,3.0,0.0,E. miniata,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,13.0,0.0,Corymbia bleeseri,4.0,0.0,E. miniata,4.0,0.0,E. chlorostachys,3.0,1.0,C. armstrongii,1.0,0.0,,,,,,,,,,,,,,,,,,,E. tetrodonta,9.0,1.0,Corymbia bleeseri,3.0,0.0,E. miniata,7.0,0.0,P. careya,1.0,1.0,E. chlorostachys,2.0,0.0,C. armstrongii,1.0,0.0,Corymbia polysciada,1.0,0.0,,,,,,,,,,,,,E. tetrodonta,18.0,1.0,Corymbia bleeseri,2.0,1.0,E. miniata,7.0,1.0,P. careya,1.0,0.0,E. chlorostachys,2.0,0.0,C. armstrongii,3.0,0.0,Corymbia porrecta,1.0,1.0,L. humilis,3.0,0.0,,,,,,,,,,wedo03.2012_1ha,wedo03.2012_1ha,15.928443908691404,20.07340240478516,18.32172203063965,18.249752044677734,1.3508771896999343,17.201982498168945,18.249752044677734,19.597414016723636,20.07340240478516,20.07340240478516
